,날짜,시가,고가,저가,종가,거래량,등락률,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
177,2021-04-07,24107,24252,23575,23866,2381,-1.0038161606105858,24238.55,41.08619987294182,22518.430879124928,24238.55,25958.66912087507,14.19325100614576,0.3917080812954184
178,2021-04-08,24349,24349,23865,23914,1226,0.2011229363948714,24221.6,41.65013081097544,22495.713167093498,24221.6,25947.4868329065,14.250807815392054,0.4108863935528203
179,2021-04-09,23914,24349,23865,23914,2301,0.0,24194.95,41.65013081097545,22467.348486340088,24194.95,25922.551513659913,14.280678518946415,0.4186878461906386
180,2021-04-12,24930,24930,24156,24592,6972,2.8351593208998915,24192.55,49.55956679355264,22467.29645631431,24192.55,25917.803543685688,14.262684534583487,0.6157655932549626
181,2021-04-13,24737,24979,24398,24543,5498,-0.1992517891997397,24132.0,49.0421668834582,22551.249418788648,24132.0,25712.750581211352,13.100866743008059,0.6300015337286938
182,2021-04-14,24688,24979,24688,24834,4498,1.1856741229678522,24095.7,52.23165256412854,22617.787404478862,24095.7,25573.61259552114,12.26702353964515,0.7497779646230234
183,2021-04-15,24979,24979,24252,24834,3313,0.0,24054.55,52.23165256412853,22713.30498509779,24054.55,25395.795014902207,11.15169491761191,0.7905695795099866
184,2021-04-16,24301,24688,24107,24543,11187,-1.1717806233389707,24018.2,48.69673784770947,22774.85538164191,24018.2,25261.54461835809,10.353353859640514,0.7110436608850365
185,2021-04-19,24495,24640,24301,24350,3409,-0.7863749337896752,23984.3,46.45134433097034,22818.372026238318,23984.3,25150.22797376168,9.72242653537257,0.6568278694009406
186,2021-04-20,24688,24979,24398,24882,5933,2.184804928131417,24008.5,52.898476276983345,22790.309128256158,24008.5,25226.690871743842,10.147996515766016,0.8585234548464411
187,2021-04-21,24640,25898,24640,25415,10695,2.1421107628004177,24107.75,58.31364694395419,22776.095859466495,24107.75,25439.404140533505,11.04751908024187,0.9908369073505349
188,2021-04-22,25898,26576,25221,26044,11205,2.4749163879598663,24231.2,63.6280223249665,22680.26755788654,24231.2,25782.132442113463,12.801119565795029,1.0844226191856845
189,2021-04-23,26237,26625,25656,26044,6440,0.0,24366.75,63.6280223249665,22685.145899743333,24366.75,26048.354100256667,13.802448830941074,0.9987053729662045
190,2021-04-26,26044,26673,25753,26625,9466,2.2308401167255414,24562.8,67.99845225941027,22790.501763246364,24562.8,26335.098236753634,14.43075086515898,1.0817869580961121
191,2021-04-27,26189,26673,26044,26431,4373,-0.7286384976525822,24727.35,65.18204466497049,22903.645936836227,24727.35,26551.05406316377,14.750501474389873,0.9670851028989046
192,2021-04-28,26382,26576,25947,25996,3849,-1.645794710756309,24867.75,59.25555216855455,23108.48232565364,24867.75,26627.01767434636,14.148989549487668,0.8206589925035687
193,2021-04-29,26044,27738,25995,27690,12211,6.516387136482536,25054.1,70.50304598173244,22959.96009063385,25054.1,27148.239909366148,16.716943808527542,1.1293514555094437
194,2021-04-30,27593,27883,26092,26819,10101,-3.145539906103286,25180.0,61.15522611371846,22981.918745814874,25180.0,27378.081254185126,17.458945624981148,0.8728251621452481
195,2021-05-03,26286,27109,26286,26383,4004,-1.6257131138372052,25291.35,57.07572628957102,23086.425395846814,25291.35,27496.274604153183,17.43619541189525,0.7475481469851113
196,2021-05-04,26189,26286,25172,25705,5829,-2.5698366372285184,25371.2,51.34037210819966,23228.69066746488,25371.2,27513.70933253512,16.889302299734496,0.5778993106193454
197,2021-05-06,26044,26431,25560,26383,5195,2.6376191402450884,25497.05,56.09194779240418,23428.568482074326,25497.05,27565.531517925672,16.225261494374234,0.7141546811809212
198,2021-05-07,26479,27496,26479,27012,5036,2.384110980555661,25651.95,59.994872404040855,23617.14165767385,25651.95,27686.758342326153,15.864745895155359,0.8341960939783688
199,2021-05-10,27738,30884,27205,30159,83822,11.650377609951134,25964.2,72.95004732346467,23279.232469470047,25964.2,28649.167530529954,20.682074013680012,1.281164008931616
200,2021-05-11,30400,30642,29287,30014,36877,-0.4807851719221459,26235.3,71.79636556940302,23101.826010958423,26235.3,29368.773989041576,23.887464515683654,1.1029569757424054
201,2021-05-12,31175,31853,29674,30643,30493,2.0956886786166455,26540.3,73.73670198517819,22968.27715012905,26540.3,30112.322849870947,26.917727756437927,1.0742824405712055
202,2021-05-13,30594,30594,29045,29288,6117,-4.421890807035864,26763.0,63.58779935186903,23090.31090343871,26763.0,30435.68909656129,27.446019478842363,0.8437535731467356
203,2021-05-14,29723,31175,29239,29433,8035,0.4950833105708823,26992.95,64.15633947960733,23256.814430992876,26992.95,30729.085569007126,27.682306446736092,0.8265473046857934
204,2021-05-17,29529,30352,29529,29965,8391,1.8074949886182177,27264.05,66.2391776391752,23491.664363562468,27264.05,31036.43563643753,27.672965949208074,0.8579896463807256
205,2021-05-18,29868,30981,28900,28900,13203,-3.554146504254964,27491.55,58.864858425947325,23905.354607944482,27491.55,31077.745392055516,26.089437605777174,0.6963710626476368
206,2021-05-20,29045,29045,28270,28755,4771,-0.5017301038062283,27685.2,57.91941778628886,24269.338902121428,27685.2,31101.061097878573,24.676441549120632,0.6565930184726189
207,2021-05-21,28755,28755,27786,28319,3540,-1.5162580420796383,27830.4,55.05599204036155,24569.517640883038,27830.4,31091.282359116965,23.433959692400855,0.5749183727272378
208,2021-05-24,28416,28706,27302,27642,4612,-2.390621137752039,27910.3,50.85204690449537,24751.713031116567,27910.3,31068.88696888343,22.633844629999906,0.45752847671393326
