rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,ord,currency,thstrm_add_amount,연결구분
20200330003444,11011,2019,01412822,SCE,자본변동표,dart_ShareBasedPaymentTransactions,주식선택권의 행사,자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|자본금 [member],제 1 기,13235800,10,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,dart_ShareBasedPaymentTransactions,주식선택권의 행사,연결재무제표 [member],제 1 기,352053962,10,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,dart_ShareBasedPaymentTransactions,주식선택권의 행사,자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|기타자본구성요소 [member],제 1 기,-120350683,10,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,dart_ShareBasedPaymentTransactions,주식선택권의 행사,자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|자본잉여금 [member],제 1 기,459168845,10,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,dart_TreasuryShareTransactions,자기주식 취득,연결재무제표 [member],제 1 기,-36713243,11,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,dart_TreasuryShareTransactions,자기주식 취득,자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|기타자본구성요소 [member],제 1 기,-36713243,11,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,-표준계정코드 미사용-,소계:,연결재무제표 [member],제 1 기,315340719,12,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,-표준계정코드 미사용-,소계:,자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|기타자본구성요소 [member],제 1 기,-157063926,12,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,-표준계정코드 미사용-,소계:,자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|자본금 [member],제 1 기,13235800,12,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,-표준계정코드 미사용-,소계:,자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|자본잉여금 [member],제 1 기,459168845,12,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,ifrs-full_Equity,기말자본,자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|이익잉여금 [member],제 1 기,4326999869,13,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,ifrs-full_Equity,기말자본,자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|기타포괄손익누계액 [member],제 1 기,5087849112,13,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,ifrs-full_Equity,기말자본,연결재무제표 [member],제 1 기,140632108965,13,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,ifrs-full_Equity,기말자본,자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|자본잉여금 [member],제 1 기,127293752427,13,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,ifrs-full_Equity,기말자본,자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|자본금 [member],제 1 기,3960220800,13,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,ifrs-full_Equity,기말자본,자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|기타자본구성요소 [member],제 1 기,-36713243,13,KRW,,연결
