,날짜,시가,고가,저가,종가,거래량,등락률,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
841,2021-03-12,12850,12950,12500,12700,23138,-0.392156862745098,12275.0,67.51402449974412,11600.092598944071,12275.0,12949.907401055929,10.996454599689267,0.8148580081764288
842,2021-03-15,12650,12750,12550,12700,10074,0.0,12307.5,67.51402449974412,11616.649075414914,12307.5,12998.350924585086,11.226502938616056,0.7840699679425989
843,2021-03-16,12700,12850,12700,12850,10447,1.1811023622047243,12362.5,70.67524942210237,11682.88613904654,12362.5,13042.11386095346,10.994764181249087,0.8586595477291072
844,2021-03-17,12850,12850,12650,12750,5274,-0.7782101167315175,12402.5,66.06003673428076,11730.58110608492,12402.5,13074.41889391508,10.835216995203885,0.758587757500921
845,2021-03-18,12750,12850,12700,12850,9608,0.7843137254901961,12450.0,68.29003639501956,11792.73293099375,12450.0,13107.26706900625,10.558507132630517,0.804290309725069
846,2021-03-19,12850,12850,12650,12650,10917,-1.556420233463035,12480.0,59.82394151520894,11844.075476176564,12480.0,13115.924523823436,10.191098138196093,0.6336636610410077
847,2021-03-22,12700,12750,12650,12700,8422,0.3952569169960474,12515.0,61.121595524428216,11912.422204192633,12515.0,13117.577795807367,9.62968910599068,0.6535071498545071
848,2021-03-23,12800,12800,12650,12700,8261,0.0,12550.0,61.12159552442822,11991.430398249186,12550.0,13108.569601750814,8.90150759762254,0.63427153888238
849,2021-03-24,12700,12800,12600,12650,14550,-0.3937007874015747,12577.5,58.91468604698519,12057.427889615235,12577.5,13097.572110384765,8.269880507012754,0.5697018726368179
850,2021-03-25,12650,12850,12650,12700,13561,0.3952569169960474,12612.5,60.45246509203909,12163.194981109644,12612.5,13061.805018890356,7.124757484881764,0.5973726047130498
851,2021-03-26,12800,13250,12650,13200,42869,3.937007874015748,12667.5,71.81378469399972,12213.324923625192,12667.5,13121.675076374808,7.170713658966769,1.0862276770561432
852,2021-03-29,13350,13600,13200,13600,45059,3.0303030303030303,12742.5,77.40593053347636,12200.951294895776,12742.5,13284.048705104224,8.499881579034314,1.291710876526766
853,2021-03-30,13550,13650,13150,13500,28924,-0.7352941176470588,12802.5,73.48091850247995,12207.121968829837,12802.5,13397.878031170163,9.300965142279445,1.0857622917569911
854,2021-03-31,13500,13950,13250,13850,34328,2.592592592592593,12875.0,77.73612169879279,12153.54314058285,12875.0,13596.45685941715,11.20709684531496,1.1757160787047485
855,2021-04-01,14000,14050,13600,13650,12540,-1.444043321299639,12932.5,70.75001818885688,12158.371457702238,12932.5,13706.628542297762,11.971831313323202,0.9634243286459395
856,2021-04-02,13650,13700,13450,13600,10464,-0.3663003663003663,12990.0,69.07861787971171,12197.157014283372,12990.0,13782.842985716628,12.206974375929612,0.8846915536804795
857,2021-04-05,13650,14000,13400,13950,34276,2.5735294117647056,13047.5,73.75292786948964,12157.28935077137,13047.5,13937.71064922863,13.645689200668777,1.0069024959328556
858,2021-04-06,14000,14000,13700,13900,12657,-0.3584229390681003,13100.0,72.07667324381737,12141.355123103422,13100.0,14058.644876896578,14.635799647276006,0.9172556591497367
859,2021-04-07,13950,14450,13900,14400,37719,3.597122302158273,13182.5,77.56735112128061,12084.649828073041,13182.5,14280.350171926959,16.656175564983258,1.0544927855970685
860,2021-04-08,14450,14900,14250,14600,27124,1.3888888888888888,13275.0,79.31910397279306,12035.847063514735,13275.0,14514.152936485265,18.668970794504933,1.0346394141461794
861,2021-04-09,14800,14800,14450,14650,20182,0.3424657534246575,13372.5,79.74494777777824,12027.332724156564,13372.5,14717.667275843436,20.118411304444734,0.9748480069881986
862,2021-04-12,14650,14650,14200,14550,16682,-0.6825938566552902,13465.0,76.358435286312,12064.250200785289,13465.0,14865.749799214711,20.805789813809298,0.8872925773782988
863,2021-04-13,14450,14550,13950,13950,37924,-4.123711340206185,13520.0,59.917125637369786,12133.854264516154,13520.0,14906.145735483846,20.505114430234407,0.6551063459607676
864,2021-04-14,14000,14300,13750,14250,20127,2.1505376344086025,13595.0,64.08152151280035,12221.355213310206,13595.0,14968.644786689794,20.208088071935187,0.7384168040918414
